"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"FCER1G",1.29447182648039e-47,0.626996080060068,0.71,0.746,2.51554710039934e-43
"AZU1",2.84069939261754e-47,-1.60339194785194,0.336,0.536,5.52033112967366e-43
"EMP3",3.01634215616496e-47,0.403408750645272,0.794,0.946,5.86165771207537e-43
"JUN",1.41803566969652e-46,0.504350140101663,0.262,0.096,2.75566871692125e-42
"TMEM109",3.33197642063341e-45,0.279045087901579,0.688,0.689,6.47502977821691e-41
"BLOC1S1",3.49132987493035e-45,0.354172428852047,0.801,0.96,6.78470134595215e-41
"DAB2",8.36000773492355e-45,0.297519579735004,0.529,0.414,1.62460030312769e-40
"HBD",2.23650877935451e-44,1.17650878800097,0.263,0.111,4.34620751091962e-40
"HLA-DMA",9.43329884085393e-44,0.425897903533839,0.781,0.9,1.83317296374314e-39
"RNF130",1.00635263621572e-43,0.290455007125947,0.806,0.977,1.955645077958e-39
"CCDC50",1.33943152940273e-43,0.616476617973708,0.724,0.774,2.60291729108832e-39
"HLA-DMB",1.87901190415199e-42,0.287866996455192,0.586,0.511,3.65148383333856e-38
"S100B",2.29019083449228e-42,0.565990962192191,0.472,0.375,4.45052784866885e-38
"TMBIM6",4.33750692446401e-42,0.259471329210989,0.812,0.987,8.4290772063109e-38
"CTSZ",1.74080481259231e-41,0.534492727917181,0.741,0.87,3.38290599231063e-37
"ABCC4",5.39424021317831e-41,0.290346903176131,0.315,0.165,1.04826270062694e-36
"CALM1",8.47932852855868e-41,0.568339114625624,0.834,0.967,1.64778791295481e-36
"CCND3",1.43224583016869e-40,0.296607123730513,0.617,0.525,2.78328332176681e-36
"APOC1",1.77719138224921e-40,0.466258919880699,0.253,0.108,3.45361601312489e-36
"PRTN3",2.20461009205621e-40,-1.04917367750006,0.333,0.516,4.28421879189283e-36
"OGFRL1",7.83581526150275e-40,0.332205863187365,0.6,0.544,1.52273397976783e-35
"DBNL",9.52486337797291e-40,0.282637497955507,0.713,0.732,1.85096670024148e-35
"PRKAR2B",1.05544497179594e-39,0.31108588678104,0.332,0.188,2.05104621369106e-35
"AP2S1",4.29689015556351e-39,0.325167953806316,0.815,0.986,8.35014663930657e-35
"CD63",3.20456058593972e-38,0.349805497575609,0.826,0.988,6.22742258665666e-34
"UCP2",3.25142878114242e-38,0.32078531617951,0.741,0.805,6.31850155039407e-34
"ELANE",1.93518157338429e-36,-1.28533926941291,0.165,0.319,3.7606383515577e-32
"DDX5",7.39921269052002e-36,0.351647685204332,0.858,0.986,1.43788900214876e-31
"LST1",8.89706583616909e-34,0.495914298448436,0.791,0.926,1.72896680394274e-29
"CAP1",1.26679246876263e-33,0.287935744906551,0.793,0.961,2.46175780454641e-29
"TPM1",3.17865107464675e-33,0.318203174652225,0.327,0.197,6.17707263336104e-29
"TIMP1",5.97761788918432e-33,0.363771132675153,0.768,0.933,1.16163048440519e-28
"DRAP1",2.78308919420911e-32,0.272250731936058,0.81,0.978,5.40837723110657e-28
"CFP",3.36262773213748e-32,0.280403933818986,0.436,0.322,6.53459447186277e-28
"C7orf50",1.03058574311003e-31,0.38394468753955,0.762,0.877,2.00273727458572e-27
"REEP5",3.26936692209815e-31,0.318664390407996,0.761,0.872,6.35336073971334e-27
"RPS20",3.28765760014292e-31,0.643793677134853,0.882,0.992,6.38890501435773e-27
"LTB",6.46429347662684e-31,1.13601633817005,0.523,0.409,1.25620615131289e-26
"TUBA1A",7.10776966222097e-31,1.01398925702413,0.778,0.859,1.3812528784594e-26
"ANXA5",8.09217443927841e-30,0.36301174604989,0.795,0.966,1.57255225878497e-25
"S100A10",1.05374959126919e-29,0.830973556061563,0.653,0.665,2.04775158071341e-25
"GRN",1.06941670943338e-29,0.584257802805289,0.73,0.855,2.07819749144189e-25
"HLA-DQB1",3.07629149123475e-29,0.563362636194502,0.772,0.927,5.97815725491649e-25
"RNH1",5.18403631223842e-29,0.392380759904621,0.782,0.935,1.00741377655729e-24
"mCherry",9.60128408216121e-29,1.10537576732733,0.668,0.66,1.86581753568639e-24
"CYBA",1.98633650114604e-28,0.26729788989665,0.856,0.992,3.8600477226771e-24
"IRF8",8.75358116470625e-28,0.823931304837166,0.615,0.634,1.70108342773737e-23
"RB1",3.653519063032e-27,0.250896609178691,0.667,0.673,7.09988359519008e-23
"ARL4C",1.93653437762876e-26,0.288441866407437,0.502,0.421,3.76326725604597e-22
"PTMS",9.00737503971129e-26,0.259570213416151,0.475,0.363,1.75040319146709e-21
"CTNNBL1",4.22557464048601e-23,0.357975072394195,0.689,0.76,8.21155919885647e-19
"DAD1",2.33268632314051e-22,0.478795288141701,0.828,0.976,4.53310933175895e-18
"FAM49B",2.34287154609269e-21,0.292742538690122,0.789,0.942,4.55290227552193e-17
"LY86",4.52633370232738e-21,0.35562369297275,0.555,0.565,8.79602428373279e-17
"MEF2C",5.77188066640455e-21,0.307547609125203,0.768,0.858,1.1216495699024e-16
"UBC",8.5382931127718e-21,0.288833489344392,0.884,0.99,1.65924650060494e-16
"LGALS1",2.09251233602638e-20,0.363351544612939,0.828,0.972,4.06637922260006e-16
"TUBA4A",3.99306600704804e-20,0.351595232864015,0.168,0.286,7.75972517149646e-16
"TUBA1B",4.34058262004715e-19,0.306175672533694,0.921,0.991,8.43505420553763e-15
"CFD",5.85930161341088e-19,-0.260125550790866,0.482,0.58,1.13863808253414e-14
"AP1S2",1.84171486820026e-18,0.253228576765774,0.738,0.858,3.57900450337356e-14
"LMO4",1.92793849755072e-18,0.691793994590053,0.715,0.784,3.74656288229032e-14
"FDPS",8.25483428847341e-18,0.261252323844273,0.791,0.943,1.60416194727904e-13
"RP11-1143G9.4",3.4604314823139e-17,0.658589280601934,0.359,0.281,6.72465649958061e-13
"TAF10",5.52954904603828e-17,0.3000950669533,0.789,0.936,1.07455726611662e-12
"RAD51AP1",6.38655823052523e-17,0.255128648091783,0.507,0.43,1.24109986093797e-12
"PLP2",7.81864905595921e-17,0.268147743597845,0.803,0.96,1.51939807104455e-12
"TYROBP",1.22653898242753e-16,0.574547031521042,0.752,0.932,2.38353320455142e-12
"H2AFZ",1.46271329194329e-16,0.405050220340901,0.913,0.994,2.84249074023339e-12
"HPGD",4.07153504368478e-16,0.431303758508824,0.256,0.395,7.91221405039263e-12
"STMN1",8.93485688425086e-16,0.550839679256359,0.888,0.987,1.73631073831647e-11
"HN1",1.16566545334014e-15,0.403732578316393,0.748,0.846,2.2652376754759e-11
"VPS29",1.58032307205648e-15,0.263863373222323,0.788,0.944,3.07104182592736e-11
"LYZ",2.15726234706768e-15,1.58506425297169,0.733,0.809,4.19220791905662e-11
"C12orf75",6.39035643521668e-15,0.558391151062569,0.653,0.742,1.24183796605566e-10
"BLVRB",6.80210365321478e-15,0.323009069035781,0.761,0.942,1.32185280292923e-10
"MARCKSL1",8.10651291878024e-15,0.345539265699721,0.696,0.719,1.57533865550656e-10
"ALDH2",1.38409021038708e-14,0.287774826600943,0.739,0.814,2.68970250584522e-10
"PLD4",6.9567696082521e-14,0.386178402075316,0.609,0.733,1.35190903797163e-09
"ENY2",1.16596899637943e-12,0.259514080131618,0.834,0.983,2.26582755066414e-08
"H3F3B",2.37141525008281e-12,0.308325018418018,0.906,0.995,4.60837125548593e-08
"DYNLL1",1.25246842853481e-11,0.335074878725957,0.863,0.977,2.4339218971717e-07
"BMP2K",2.8175730383856e-11,0.322760050085855,0.486,0.481,5.47538968549474e-07
"SRSF7",1.75082279335965e-10,0.298233162208465,0.851,0.966,3.4023739343358e-06
"SQLE",1.82361557672235e-09,0.264513672837826,0.698,0.779,3.54383215024454e-05
"RPS6KA4",5.24182334064241e-09,0.276455024778798,0.634,0.7,0.000101864352978704
"IDI1",1.08111275125714e-08,0.297492227438591,0.733,0.834,0.0002100926409518
"HSPA5",1.88943763147527e-08,0.257407983143663,0.761,0.922,0.000367174414924589
"PDLIM1",2.14486181652432e-08,0.394485528902351,0.472,0.497,0.000416810996805171
"TYMP",3.6162390610594e-08,0.291119235883239,0.666,0.767,0.000702743736735672
"GMPR",3.94185760634505e-08,0.461855107411445,0.279,0.251,0.000766021188641034
"TNNI2",1.55827954230296e-07,0.285338592756145,0.474,0.491,0.00302820463455734
"TCF4",4.05428766914113e-07,0.473632025426641,0.554,0.71,0.00787869722744195
"PGP",1.25134186538651e-06,0.286651867731094,0.698,0.769,0.024317326470056
"UBE2C",1.16473255278551e-05,0.434176256024422,0.461,0.446,0.226342476982809
"SRSF2",1.20947637561103e-05,0.264352717755767,0.836,0.957,0.235037544072491
"PLAC8",3.21283315171868e-05,0.319943225078921,0.782,0.987,0.62434986637349
"MARCKS",5.96282388578718e-05,0.359798190109874,0.633,0.729,1
"ZNF90",6.02480137684385e-05,0.640795559739739,0.248,0.317,1
"FOS",7.17697144139651e-05,0.341729568216572,0.704,0.747,1
"HNRNPAB",8.86376154798395e-05,0.314443995909302,0.764,0.891,1
"S100A11",0.00019686792874492,0.321892765403736,0.812,0.99,1
"EIF4G2",0.000286473002085115,0.389169181791477,0.815,0.96,1
"IRF7",0.000629556630503374,0.373835956439888,0.443,0.443,1
"MKI67",0.000758314736355829,0.339712481597773,0.407,0.404,1
"CDK1",0.000901161145194101,0.26360808274698,0.41,0.394,1
"YWHAZ",0.00171013764631294,0.262324529833881,0.795,0.95,1
"BTG1",0.00177765787940578,0.281797576982169,0.754,0.923,1
"MRPS6",0.00223846642142884,0.272929909783268,0.723,0.882,1
"TMPO",0.00287012077790229,0.265009309950341,0.723,0.869,1
"NT5DC2",0.00302211331461855,0.25081498840956,0.559,0.59,1
"TFRC",0.0033873386859308,0.390183562564307,0.528,0.596,1
"MS4A6A",0.00345648139571239,0.469116605759527,0.358,0.367,1
"TUBB4B",0.00475455924963144,0.33166537743566,0.731,0.801,1
"HIST1H2AL",0.00820543353145277,0.255936707096524,0.319,0.293,1
"CUEDC2",0.009215917545767,0.264120430212973,0.761,0.907,1
"CENPF",0.0208814010007332,0.268369259045302,0.499,0.603,1
"HMGB2",0.0279867914252853,0.367643005026195,0.801,0.954,1
"UBE2S",0.0308950914835085,0.352754349977567,0.705,0.838,1
"HIST1H1B",0.0522324106275546,0.253846654861647,0.417,0.424,1
"ATP5G1",0.067019250211829,0.288496034145514,0.811,0.948,1
"RN7SL1",0.115548170344589,0.687162639865461,0.447,0.464,1
"BASP1",0.119534396164597,0.372310890791876,0.743,0.934,1
"TOP2A",0.125960007824999,0.361655275950071,0.466,0.493,1
"TUBB",0.161478473567518,0.356297170847121,0.881,0.991,1
"DNAJA1",0.211937788333439,0.299010663652178,0.8,0.936,1
"TCEB1",0.235443517345925,0.260413729983529,0.781,0.928,1
"HNRNPA3",0.238134369113765,0.2769385296019,0.854,0.979,1
"HNRNPD",0.247644354101834,0.275640439935989,0.816,0.964,1
"PPP1R14B",0.288324778748183,0.266930673717774,0.833,0.982,1
"UBB",0.325231339360666,0.62464410913594,0.886,0.992,1
"CKS2",0.325597924205636,0.324050787328765,0.735,0.895,1
"CKS1B",0.402198331486563,0.290492231194423,0.642,0.764,1
"SLC40A1",0.487578490421647,0.374035386760772,0.318,0.377,1
"HSP90B1",0.644466223643454,0.269174937707732,0.828,0.973,1
